APN,SP,SFLA,BEDS,Baths,Age,Stories,Vacant,Month,Day,Year
068-210-24,149900,1800,4,2,1,1,1,1,26,1999
068-210-26,135000,1700,3,2,1,1,1,1,23,1999
070-220-45,134000,1400,3,2,4,1,0,1,27,1999
071-360-05,179500,2200,4,2.5,10,2,1,1,27,1999
072-040-20,99000,1600,3,2.5,20,1,0,1,19,1999
072-150-44,119000,2200,4,2.5,21,2,1,1,20,1999
072-180-16,119000,1600,3,2,19,1,0,1,26,1999
072-240-43,156000,2600,4,2.5,17,2,0,1,10,1999
072-240-44,149000,2600,4,3,17,2,1,1,26,1999
072-290-56,114900,1600,3,2,23,1,0,1,2,1999
075-060-01,115000,1500,3,2,36,1,0,1,15,1999
075-080-12,179950,2300,4,2.5,32,2,0,1,27,1999
075-230-16,212000,3000,3,2.5,51,1,1,1,25,1999
077-101-21,92000,1200,3,2,38,1,0,1,4,1999
077-102-07,87500,1400,3,1.5,38,1,1,1,12,1999
077-120-17,119500,1300,3,2,36,1,1,1,18,1999
077-345-06,138000,1700,3,2,45,2,1,1,18,1999
078-160-07,131000,1800,4,2,16,1,0,1,12,1999
078-280-13,125950,2200,3,2.5,18,2,0,1,26,1999
078-350-21,122500,2200,4,2.5,14,2,0,1,12,1999
080-150-31,101800,1500,3,2,17,1,1,1,14,1999
080-160-25,147900,2700,5,4,19,2,0,1,7,1999
081-070-32,65000,1200,3,2,30,1,1,1,26,1999
082-160-30,123000,1700,4,2,25,1,0,1,21,1999
082-250-02,97000,1400,3,2,23,1,0,1,18,1999
085-090-32,175000,1700,3,2,27,1,1,1,29,1999
085-110-39,425000,3600,4,3,17,1,0,1,6,1999
085-300-51,360000,3100,4,3,45,1,0,1,11,1999
085-380-20,155000,1900,4,2,37,1,0,1,20,1999
086-060-39,110000,1400,3,2.5,35,1,1,1,28,1999
086-590-14,391000,3700,5,3,10,2,0,1,28,1999
088-120-53,79000,1300,3,2,20,1,0,1,11,1999
088-130-11,74000,1300,4,2,20,1,1,1,28,1999
088-150-31,63650,1000,2,2,18,1,0,1,13,1999
088-270-39,84500,1100,3,2,16,1,0,1,7,1999
089-190-07,119000,1000,3,1.5,66,1,0,1,10,1999
090-030-08,72000,1300,3,2,21,1,1,1,3,1999
090-380-15,98000,1100,3,2,14,1,0,1,29,1999
090-520-26,97000,1200,3,2,9,1,0,1,17,1999
094-240-60,100000,1300,3,2,11,1,1,1,8,1999
094-350-41,132000,1900,4,3,9,2,0,1,20,1999
094-350-62,132000,1900,4,2.5,9,2,0,1,18,1999
094-360-53,122000,1700,4,2.5,10,2,0,1,22,1999
096-130-60,123000,1800,3,2,9,1,1,1,29,1999
097-060-03,141000,1600,3,2,39,1,1,1,9,1999
097-120-03,189000,2000,3,2,39,1,0,1,25,1999
097-130-12,152000,1900,4,3,39,1,0,1,4,1999
097-163-23,95000,1400,3,1,47,1,0,1,31,1999
097-201-04,87000,1700,3,2,46,1,0,1,20,1999
097-210-31,102500,1500,3,1,47,1,1,1,26,1999
097-320-20,52000,1100,3,1,45,1,0,1,14,1999
097-580-12,146000,2500,5,3,24,2,1,1,24,1999
098-392-30,110000,2000,4,2,27,1,0,1,23,1999
101-200-01,233000,2200,3,3,14,1,0,1,19,1999
102-050-21,110700,1300,3,2,23,1,0,1,24,1999
102-190-34,156500,1800,3,2,38,1,0,1,27,1999
102-300-07,85000,1200,3,2,37,1,1,1,5,1999
102-332-08,50000,1000,3,1,44,1,0,1,27,1999
104-040-36,95500,1600,3,2,10,1,0,1,13,1999
108-180-01,154900,2100,4,2,22,1,1,1,8,1999
108-190-22,110000,1800,3,3,21,1,0,1,18,1999
109-050-10,320000,2000,3,2,41,1,0,1,31,1999
109-141-22,87500,1300,3,1,47,1,1,1,4,1999
109-142-24,70500,1200,3,1,48,1,1,1,6,1999
111-053-05,120000,1700,3,2,49,1,0,1,13,1999
111-201-11,70750,800,2,1,49,1,0,1,13,1999
111-300-12,60000,900,3,1,44,1,1,1,8,1999
111-363-02,93000,1000,3,1,52,1,0,1,17,1999
113-170-24,128000,1400,2,1,58,1,1,1,25,1999
113-190-02,85450,1100,2,1,78,1,0,1,11,1999
113-211-11,116000,1400,2,1,82,1,0,1,31,1999
115-070-35,63000,900,2,1,11,1,0,1,31,1999
115-190-06,78700,800,2,1,49,1,1,1,26,1999
116-210-31,114000,1300,3,2,13,1,1,1,21,1999
123-090-14,94000,1000,3,1,40,1,0,1,23,1999
123-231-27,79950,1200,3,1.5,51,1,0,1,25,1999
125-160-24,59900,1400,3,1,52,1,1,1,23,1999
125-350-20,79950,1100,2,1,74,1,1,1,25,1999
133-240-19,86000,1300,3,2,50,1,1,1,8,1999
135-042-232,260000,2500,3,3.5,70,2,0,1,6,1999
135-060-12,110000,1500,3,1,68,1,0,1,5,1999
135-340-22,205000,2400,3,1.5,69,2,0,1,11,1999
135-350-27,114000,1400,3,1.5,62,1,0,1,4,1999
137-030-23,97000,1400,2,2,70,1,0,1,16,1999
137-030-31,107500,1300,3,2,16,1,1,1,31,1999
151-042-03,89000,1700,4,2,86,2,0,1,25,1999
157-332-06,88000,1200,3,2,25,1,0,1,15,1999
159-041-06,66500,1000,3,1,48,1,1,1,2,1999
159-211-15,65000,800,2,1,27,1,0,1,7,1999
161-230-19,121000,1300,3,2,9,1,1,1,4,1999
161-340-13,185000,2400,4,3,3,2,0,1,13,1999
161-450-05,158000,1900,4,2.5,2,2,0,1,15,1999
161-460-53,145000,2000,5,2.5,4,2,1,1,25,1999
068-200-34,159950,1420,3,2,3,1,0,10,3,1999
070-220-48,173000,1700,3,2,4,1,1,10,31,1999
071-410-55,220000,2700,5,3,6,2,0,10,25,1999
072-030-02,114950,1746,3,2,20,1,0,10,25,1999
072-030-44,123000,1914,4,2,20,1,1,10,28,1999
072-030-45,130000,1849,4,2,20,1,1,10,24,1999
072-050-63,150750,2226,4,2.5,20,2,0,10,11,1999
072-120-06,185000,2592,5,3,14,2,0,10,6,1999
